Date,Treatment,Material,Biological Replication,Population (Log CFU/coupon)
11/18/2024,Det+Water  ,Foam,1,5.34
11/18/2024,Det+Water  ,Foam,1,5.19
11/18/2024,Det+Water  ,Foam,1,5.12
11/21/2024,Det+Water ,Foam,2,3.71
11/21/2024,Det+Water ,Foam,2,3.01
11/21/2024,Det+Water ,Foam,2,3.85
11/21/2024,Det+Water ,Foam,2,4.15
11/21/2024,Det+Water ,Foam,2,4.33
11/21/2024,Det+Water ,Foam,2,4.35
10/25/2024,Det+Water,Foam,3,4.97
10/25/2024,Det+Water,Foam,3,5.17
10/25/2024,Det+Water,Foam,3,4.98
10/25/2024,Det+Water,Foam,3,5.31
10/25/2024,Det+Water,Foam,3,4.63
10/25/2024,Det+Water,Foam,3,5.19
11/18/2024,Foam+Chlorine  ,Foam,1,5.19
11/18/2024,Foam+Chlorine  ,Foam,1,4.94
11/18/2024,Foam+Chlorine  ,Foam,1,4.68
11/18/2024,Foam+Chlorine  ,Foam,1,4.90
11/18/2024,Foam+Chlorine  ,Foam,1,5.00
11/18/2024,Foam+Chlorine  ,Foam,1,4.79
11/21/2024,Foam+Chlorine ,Foam,2,4.01
11/21/2024,Foam+Chlorine ,Foam,2,4.18
11/21/2024,Foam+Chlorine ,Foam,2,4.26
11/21/2024,Foam+Chlorine ,Foam,2,4.47
11/21/2024,Foam+Chlorine ,Foam,2,3.71
11/21/2024,Foam+Chlorine ,Foam,2,4.51
10/25/2024,Foam+Chlorine ,Foam,3,6.31
10/25/2024,Foam+Chlorine ,Foam,3,6.19
10/25/2024,Foam+Chlorine ,Foam,3,4.65
10/25/2024,Foam+Chlorine ,Foam,3,4.69
10/25/2024,Foam+Chlorine ,Foam,3,4.15
10/25/2024,Foam+Chlorine ,Foam,3,3.48
11/18/2024,Foam+SaniDate  ,Foam,1,3.01
11/18/2024,Foam+SaniDate  ,Foam,1,3.01
11/18/2024,Foam+SaniDate  ,Foam,1,4.85
11/18/2024,Foam+SaniDate  ,Foam,1,3.85
11/18/2024,Foam+SaniDate  ,Foam,1,4.33
11/18/2024,Foam+SaniDate  ,Foam,1,3.96
11/21/2024,Foam+SaniDate ,Foam,2,3.01
11/21/2024,Foam+SaniDate ,Foam,2,3.48
11/21/2024,Foam+SaniDate ,Foam,2,3.00
11/21/2024,Foam+SaniDate ,Foam,2,3.00
11/21/2024,Foam+SaniDate ,Foam,2,3.01
11/21/2024,Foam+SaniDate ,Foam,2,3.00
10/25/2024,Foam+SaniDate ,Foam,3,3.31
10/25/2024,Foam+SaniDate ,Foam,3,3.01
10/25/2024,Foam+SaniDate ,Foam,3,5.96
10/25/2024,Foam+SaniDate ,Foam,3,5.99
10/25/2024,Foam+SaniDate ,Foam,3,3.01
10/25/2024,Foam+SaniDate ,Foam,3,3.00
11/18/2024,Foam+Water  ,Foam,1,5.18
11/18/2024,Foam+Water  ,Foam,1,5.09
11/18/2024,Foam+Water  ,Foam,1,5.46
11/18/2024,Foam+Water  ,Foam,1,5.24
11/18/2024,Foam+Water  ,Foam,1,6.21
11/18/2024,Foam+Water  ,Foam,1,5.97
11/21/2024,Foam+Water ,Foam,2,5.21
11/21/2024,Foam+Water ,Foam,2,5.14
11/21/2024,Foam+Water ,Foam,2,5.00
11/21/2024,Foam+Water ,Foam,2,4.91
11/21/2024,Foam+Water ,Foam,2,4.26
11/21/2024,Foam+Water ,Foam,2,4.31
10/25/2024,Foam+Water ,Foam,3,4.45
10/25/2024,Foam+Water ,Foam,3,4.45
10/25/2024,Foam+Water ,Foam,3,4.92
10/25/2024,Foam+Water ,Foam,3,4.53
10/25/2024,Foam+Water ,Foam,3,4.29
10/25/2024,Foam+Water ,Foam,3,4.39
11/18/2024,Without Treatment  ,Foam,1,8.37
11/18/2024,Without Treatment  ,Foam,1,8.46
11/18/2024,Without Treatment  ,Foam,1,8.26
11/18/2024,Without Treatment  ,Foam,1,8.29
11/18/2024,Without Treatment  ,Foam,1,8.31
11/18/2024,Without Treatment  ,Foam,1,8.25
11/21/2024,Without Treatment ,Foam,2,8.05
11/21/2024,Without Treatment ,Foam,2,8.25
11/21/2024,Without Treatment ,Foam,2,8.29
11/21/2024,Without Treatment ,Foam,2,8.23
11/21/2024,Without Treatment ,Foam,2,8.32
11/21/2024,Without Treatment ,Foam,2,8.44
10/25/2024,Without Treatment ,Foam,3,7.88
10/25/2024,Without Treatment ,Foam,3,8.01
10/25/2024,Without Treatment ,Foam,3,8.08
10/25/2024,Without Treatment ,Foam,3,7.98
10/25/2024,Without Treatment ,Foam,3,8.24
10/25/2024,Without Treatment ,Foam,3,8.25
8/30/2024,Without Treatment,Interlocking belt- polypropylene,1,8.27
8/30/2024,Without Treatment,Interlocking belt- polypropylene,1,8.51
8/30/2024,Without Treatment,Interlocking belt- polypropylene,1,8.44
8/30/2024,Without Treatment,Interlocking belt- polypropylene,1,8.30
8/30/2024,Without Treatment,Interlocking belt- polypropylene,1,8.26
8/30/2024,Without Treatment,Interlocking belt- polypropylene,1,8.28
10/2/2024,Without Treatment ,Interlocking belt- polypropylene,2,8.36
10/2/2024,Without Treatment ,Interlocking belt- polypropylene,2,8.25
10/2/2024,Without Treatment  ,Interlocking belt- polypropylene,2,8.44
10/2/2024,Without Treatment  ,Interlocking belt- polypropylene,2,8.50
10/2/2024,Without Treatment  ,Interlocking belt- polypropylene,2,8.18
10/2/2024,Without Treatment ,Interlocking belt- polypropylene,2,8.08
10/7/2024,Without Treatment ,Interlocking belt- polypropylene,3,8.44
10/7/2024,Without Treatment ,Interlocking belt- polypropylene,3,8.46
10/7/2024,Without Treatment,Interlocking belt- polypropylene,3,8.55
10/7/2024,Without Treatment ,Interlocking belt- polypropylene,3,8.46
10/7/2024,Without Treatment ,Interlocking belt- polypropylene,3,8.27
10/7/2024,Without Treatment ,Interlocking belt- polypropylene,3,8.44
8/30/2024,Det+Chlorine  ,Interlocking belt- polypropylene,1,6.14
8/30/2024,Det+Chlorine  ,Interlocking belt- polypropylene,1,6.20
8/30/2024,Det+Chlorine  ,Interlocking belt- polypropylene,1,6.09
8/30/2024,Det+Chlorine  ,Interlocking belt- polypropylene,1,5.99
8/30/2024,Det+Chlorine  ,Interlocking belt- polypropylene,1,6.15
8/30/2024,Det+Chlorine  ,Interlocking belt- polypropylene,1,6.28
10/2/2024,Det+Chlorine  ,Interlocking belt- polypropylene,2,6.28
10/2/2024,Det+Chlorine  ,Interlocking belt- polypropylene,2,6.32
10/2/2024,Det+Chlorine  ,Interlocking belt- polypropylene,2,6.31
10/2/2024,Det+Chlorine  ,Interlocking belt- polypropylene,2,6.40
10/2/2024,Det+Chlorine  ,Interlocking belt- polypropylene,2,5.46
10/2/2024,Det+Chlorine ,Interlocking belt- polypropylene,2,5.43
10/7/2024,Det+Chlorine  ,Interlocking belt- polypropylene,3,6.47
10/7/2024,Det+Chlorine  ,Interlocking belt- polypropylene,3,6.48
10/7/2024,Det+Chlorine  ,Interlocking belt- polypropylene,3,6.86
10/7/2024,Det+Chlorine ,Interlocking belt- polypropylene,3,6.79
10/7/2024,Det+Chlorine  ,Interlocking belt- polypropylene,3,5.88
10/7/2024,Det+Chlorine  ,Interlocking belt- polypropylene,3,5.91
8/30/2024,Det+SaniDate ,Interlocking belt- polypropylene,1,6.49
8/30/2024,Det+SaniDate ,Interlocking belt- polypropylene,1,6.68
8/30/2024,Det+SaniDate ,Interlocking belt- polypropylene,1,5.52
8/30/2024,Det+SaniDate ,Interlocking belt- polypropylene,1,5.70
8/30/2024,Det+SaniDate ,Interlocking belt- polypropylene,1,6.08
8/30/2024,Det+SaniDate ,Interlocking belt- polypropylene,1,6.06
10/2/2024,Det+SaniDate  ,Interlocking belt- polypropylene,2,3.96
10/2/2024,Det+SaniDate  ,Interlocking belt- polypropylene,2,4.81
10/2/2024,Det+SaniDate  ,Interlocking belt- polypropylene,2,5.49
10/2/2024,Det+SaniDate  ,Interlocking belt- polypropylene,2,5.50
10/2/2024,Det+SaniDate ,Interlocking belt- polypropylene,2,5.20
10/2/2024,Det+SaniDate  ,Interlocking belt- polypropylene,2,5.29
10/7/2024,Det+SaniDate ,Interlocking belt- polypropylene,3,5.86
10/7/2024,Det+SaniDate  ,Interlocking belt- polypropylene,3,5.98
10/7/2024,Det+SaniDate  ,Interlocking belt- polypropylene,3,4.60
10/7/2024,Det+SaniDate  ,Interlocking belt- polypropylene,3,4.31
10/7/2024,Det+SaniDate  ,Interlocking belt- polypropylene,3,4.44
10/7/2024,Det+SaniDate  ,Interlocking belt- polypropylene,3,4.31
8/30/2024,Det+Water ,Interlocking belt- polypropylene,1,6.25
8/30/2024,Det+Water ,Interlocking belt- polypropylene,1,6.16
8/30/2024,Det+Water ,Interlocking belt- polypropylene,1,6.48
8/30/2024,Det+Water ,Interlocking belt- polypropylene,1,6.48
8/30/2024,Det+Water ,Interlocking belt- polypropylene,1,6.38
8/30/2024,Det+Water ,Interlocking belt- polypropylene,1,5.64
10/2/2024,Det+Water  ,Interlocking belt- polypropylene,2,6.59
10/2/2024,Det+Water  ,Interlocking belt- polypropylene,2,6.53
10/2/2024,Det+Water  ,Interlocking belt- polypropylene,2,6.53
10/2/2024,Det+Water  ,Interlocking belt- polypropylene,2,6.61
10/2/2024,Det+Water  ,Interlocking belt- polypropylene,2,5.90
10/2/2024,Det+Water  ,Interlocking belt- polypropylene,2,6.13
10/7/2024,Det+Water ,Interlocking belt- polypropylene,3,5.51
10/7/2024,Det+Water  ,Interlocking belt- polypropylene,3,5.50
10/7/2024,Det+Water ,Interlocking belt- polypropylene,3,5.95
10/7/2024,Det+Water  ,Interlocking belt- polypropylene,3,5.66
10/7/2024,Det+Water  ,Interlocking belt- polypropylene,3,4.86
10/7/2024,Det+Water  ,Interlocking belt- polypropylene,3,4.81
8/30/2024,Foam+Chlorine ,Interlocking belt- polypropylene,1,4.73
8/30/2024,Foam+Chlorine ,Interlocking belt- polypropylene,1,4.72
8/30/2024,Foam+Chlorine ,Interlocking belt- polypropylene,1,6.44
8/30/2024,Foam+Chlorine ,Interlocking belt- polypropylene,1,6.40
8/30/2024,Foam+Chlorine ,Interlocking belt- polypropylene,1,4.87
8/30/2024,Foam+Chlorine ,Interlocking belt- polypropylene,1,4.89
10/2/2024,Foam+Chlorine ,Interlocking belt- polypropylene,2,5.93
10/2/2024,Foam+Chlorine ,Interlocking belt- polypropylene,2,5.75
10/2/2024,Foam+Chlorine  ,Interlocking belt- polypropylene,2,4.98
10/2/2024,Foam+Chlorine  ,Interlocking belt- polypropylene,2,5.10
10/2/2024,Foam+Chlorine  ,Interlocking belt- polypropylene,2,5.22
10/2/2024,Foam+Chlorine  ,Interlocking belt- polypropylene,2,5.74
10/7/2024,Foam+Chlorine ,Interlocking belt- polypropylene,3,7.01
10/7/2024,Foam+Chlorine  ,Interlocking belt- polypropylene,3,7.03
10/7/2024,Foam+Chlorine  ,Interlocking belt- polypropylene,3,7.09
10/7/2024,Foam+Chlorine  ,Interlocking belt- polypropylene,3,7.33
10/7/2024,Foam+Chlorine  ,Interlocking belt- polypropylene,3,6.68
10/7/2024,Foam+Chlorine ,Interlocking belt- polypropylene,3,6.71
8/30/2024,Foam+SaniDate ,Interlocking belt- polypropylene,1,5.19
8/30/2024,Foam+SaniDate ,Interlocking belt- polypropylene,1,5.19
8/30/2024,Foam+SaniDate ,Interlocking belt- polypropylene,1,6.29
8/30/2024,Foam+SaniDate ,Interlocking belt- polypropylene,1,6.25
8/30/2024,Foam+SaniDate ,Interlocking belt- polypropylene,1,6.24
8/30/2024,Foam+SaniDate ,Interlocking belt- polypropylene,1,6.27
10/2/2024,Foam+SaniDate  ,Interlocking belt- polypropylene,2,6.55
10/2/2024,Foam+SaniDate ,Interlocking belt- polypropylene,2,6.54
10/2/2024,Foam+SaniDate  ,Interlocking belt- polypropylene,2,4.99
10/2/2024,Foam+SaniDate ,Interlocking belt- polypropylene,2,4.71
10/2/2024,Foam+SaniDate  ,Interlocking belt- polypropylene,2,4.74
10/2/2024,Foam+SaniDate  ,Interlocking belt- polypropylene,2,4.72
10/7/2024,Foam+SaniDate ,Interlocking belt- polypropylene,3,5.59
10/7/2024,Foam+SaniDate ,Interlocking belt- polypropylene,3,5.54
10/7/2024,Foam+SaniDate  ,Interlocking belt- polypropylene,3,5.35
10/7/2024,Foam+SaniDate  ,Interlocking belt- polypropylene,3,5.29
10/7/2024,Foam+SaniDate  ,Interlocking belt- polypropylene,3,5.79
10/7/2024,Foam+SaniDate  ,Interlocking belt- polypropylene,3,5.69
8/30/2024,Foam+Water ,Interlocking belt- polypropylene,1,6.44
8/30/2024,Foam+Water ,Interlocking belt- polypropylene,1,6.51
8/30/2024,Foam+Water ,Interlocking belt- polypropylene,1,6.85
8/30/2024,Foam+Water ,Interlocking belt- polypropylene,1,7.01
8/30/2024,Foam+Water ,Interlocking belt- polypropylene,1,7.10
8/30/2024,Foam+Water ,Interlocking belt- polypropylene,1,7.26
10/2/2024,Foam+Water  ,Interlocking belt- polypropylene,2,5.91
10/2/2024,Foam+Water  ,Interlocking belt- polypropylene,2,5.85
10/2/2024,Foam+Water  ,Interlocking belt- polypropylene,2,6.24
10/2/2024,Foam+Water   ,Interlocking belt- polypropylene,2,6.22
10/2/2024,Foam+Water  ,Interlocking belt- polypropylene,2,5.98
10/2/2024,Foam+Water  ,Interlocking belt- polypropylene,2,5.98
10/7/2024,Foam+Water  ,Interlocking belt- polypropylene,3,6.47
10/7/2024,Foam+Water  ,Interlocking belt- polypropylene,3,6.62
10/7/2024,Foam+Water ,Interlocking belt- polypropylene,3,7.01
10/7/2024,Foam+Water  ,Interlocking belt- polypropylene,3,6.26
10/7/2024,Foam+Water ,Interlocking belt- polypropylene,3,6.84
10/7/2024,Foam+Water  ,Interlocking belt- polypropylene,3,6.83
12/2/2024,Det+Chlorine,PVC,1,4.21
12/2/2024,Det+Chlorine,PVC,1,5.16
12/2/2024,Det+Chlorine,PVC,1,3.91
12/2/2024,Det+Chlorine,PVC,1,4.09
12/2/2024,Det+Chlorine,PVC,1,3.00
12/2/2024,Det+Chlorine,PVC,1,3.00
12/9/2024,Det+Chlorine,PVC,2,4.24
12/9/2024,Det+Chlorine,PVC,2,4.26
12/9/2024,Det+Chlorine,PVC,2,5.77
12/9/2024,Det+Chlorine,PVC,2,5.74
12/9/2024,Det+Chlorine,PVC,2,4.45
12/9/2024,Det+Chlorine,PVC,2,4.64
12/12/2024,Det+Chlorine,PVC,3,4.58
12/12/2024,Det+Chlorine,PVC,3,4.62
12/12/2024,Det+Chlorine,PVC,3,4.63
12/12/2024,Det+Chlorine,PVC,3,5.04
12/12/2024,Det+Chlorine,PVC,3,3.61
12/12/2024,Det+Chlorine,PVC,3,3.61
12/2/2024,Det+SaniDate ,PVC,1,3.79
12/2/2024,Det+SaniDate,PVC,1,3.96
12/2/2024,Det+SaniDate,PVC,1,3.01
12/2/2024,Det+SaniDate,PVC,1,3.01
12/2/2024,Det+SaniDate,PVC,1,3.71
12/2/2024,Det+SaniDate,PVC,1,3.31
12/9/2024,Det+SaniDate,PVC,2,3.61
12/9/2024,Det+SaniDate,PVC,2,3.61
12/9/2024,Det+SaniDate,PVC,2,4.05
12/9/2024,Det+SaniDate,PVC,2,3.61
12/9/2024,Det+SaniDate,PVC,2,3.48
12/9/2024,Det+SaniDate,PVC,2,3.71
12/12/2024,Det+SaniDate ,PVC,3,4.68
12/12/2024,Det+SaniDate ,PVC,3,4.35
12/12/2024,Det+SaniDate ,PVC,3,4.29
12/12/2024,Det+SaniDate ,PVC,3,4.40
12/12/2024,Det+SaniDate ,PVC,3,5.98
12/12/2024,Det+SaniDate ,PVC,3,6.03
12/2/2024,Det+Water ,PVC,1,4.33
12/2/2024,Det+Water ,PVC,1,4.44
12/2/2024,Det+Water ,PVC,1,4.54
12/2/2024,Det+Water ,PVC,1,4.37
12/2/2024,Det+Water ,PVC,1,4.24
12/2/2024,Det+Water ,PVC,1,4.78
12/9/2024,Det+Water ,PVC,2,4.58
12/9/2024,Det+Water ,PVC,2,4.59
12/9/2024,Det+Water ,PVC,2,5.78
12/9/2024,Det+Water ,PVC,2,5.52
12/9/2024,Det+Water ,PVC,2,4.42
12/9/2024,Det+Water ,PVC,2,4.54
12/12/2024,Det+Water ,PVC,3,4.89
12/12/2024,Det+Water ,PVC,3,4.94
12/12/2024,Det+Water ,PVC,3,4.76
12/12/2024,Det+Water ,PVC,3,4.89
12/12/2024,Det+Water ,PVC,3,5.27
12/12/2024,Det+Water ,PVC,3,5.21
12/2/2024,Foam+Chlorine ,PVC,1,5.20
12/2/2024,Foam+Chlorine ,PVC,1,5.27
12/2/2024,Foam+Chlorine ,PVC,1,4.90
12/2/2024,Foam+Chlorine ,PVC,1,4.91
12/2/2024,Foam+Chlorine ,PVC,1,6.02
12/2/2024,Foam+Chlorine ,PVC,1,5.24
12/9/2024,Foam+Chlorine,PVC,2,5.29
12/9/2024,Foam+Chlorine,PVC,2,5.27
12/9/2024,Foam+Chlorine,PVC,2,5.43
12/9/2024,Foam+Chlorine,PVC,2,5.45
12/9/2024,Foam+Chlorine,PVC,2,5.21
12/9/2024,Foam+Chlorine,PVC,2,5.25
12/12/2024,Foam+Chlorine ,PVC,3,5.67
12/12/2024,Foam+Chlorine ,PVC,3,5.58
12/12/2024,Foam+Chlorine ,PVC,3,4.74
12/12/2024,Foam+Chlorine ,PVC,3,4.81
12/12/2024,Foam+Chlorine ,PVC,3,6.66
12/12/2024,Foam+Chlorine ,PVC,3,6.54
12/2/2024,Foam+SaniDate ,PVC,1,4.48
12/2/2024,Foam+SaniDate ,PVC,1,4.29
12/2/2024,Foam+SaniDate ,PVC,1,4.61
12/2/2024,Foam+SaniDate ,PVC,1,4.78
12/2/2024,Foam+SaniDate ,PVC,1,3.96
12/2/2024,Foam+SaniDate ,PVC,1,4.05
12/9/2024,Foam+SaniDate ,PVC,2,4.53
12/9/2024,Foam+SaniDate ,PVC,2,4.40
12/9/2024,Foam+SaniDate ,PVC,2,4.01
12/9/2024,Foam+SaniDate ,PVC,2,4.26
12/9/2024,Foam+SaniDate ,PVC,2,4.92
12/9/2024,Foam+SaniDate ,PVC,2,4.94
12/12/2024,Foam+SaniDate,PVC,3,5.99
12/12/2024,Foam+SaniDate,PVC,3,5.99
12/12/2024,Foam+SaniDate,PVC,3,6.47
12/12/2024,Foam+SaniDate,PVC,3,6.42
12/12/2024,Foam+SaniDate,PVC,3,4.48
12/12/2024,Foam+SaniDate,PVC,3,4.44
12/2/2024,Foam+Water,PVC,1,6.19
12/2/2024,Foam+Water,PVC,1,6.22
12/2/2024,Foam+Water,PVC,1,5.99
12/2/2024,Foam+Water,PVC,1,6.02
12/2/2024,Foam+Water,PVC,1,6.20
12/2/2024,Foam+Water,PVC,1,6.27
12/9/2024,Foam+Water ,PVC,2,5.55
12/9/2024,Foam+Water ,PVC,2,5.55
12/9/2024,Foam+Water ,PVC,2,7.20
12/9/2024,Foam+Water ,PVC,2,6.96
12/9/2024,Foam+Water ,PVC,2,5.56
12/9/2024,Foam+Water ,PVC,2,5.62
12/12/2024,Foam+Water ,PVC,3,5.72
12/12/2024,Foam+Water ,PVC,3,5.91
12/12/2024,Foam+Water ,PVC,3,6.01
12/12/2024,Foam+Water ,PVC,3,5.96
12/12/2024,Foam+Water ,PVC,3,6.21
12/12/2024,Foam+Water ,PVC,3,6.26
12/2/2024,Without Treatment,PVC,1,8.29
12/2/2024,Without Treatment,PVC,1,8.45
12/2/2024,Without Treatment,PVC,1,8.29
12/2/2024,Without Treatment,PVC,1,8.32
12/2/2024,Without Treatment,PVC,1,8.20
12/2/2024,Without Treatment,PVC,1,8.27
12/9/2024,Without Treatment ,PVC,2,8.12
12/9/2024,Without Treatment,PVC,2,8.16
12/9/2024,Without Treatment,PVC,2,8.02
12/9/2024,Without Treatment,PVC,2,8.22
12/9/2024,Without Treatment,PVC,2,8.11
12/9/2024,Without Treatment,PVC,2,8.17
12/12/2024,Without Treatment ,PVC,3,8.20
12/12/2024,Without Treatment ,PVC,3,8.19
12/12/2024,Without Treatment ,PVC,3,8.20
12/12/2024,Without Treatment ,PVC,3,7.99
12/12/2024,Without Treatment ,PVC,3,8.21
12/12/2024,Without Treatment ,PVC,3,8.20
